Depth (km),P_(GPa),T_(K),dT/dz_(K/km),P,T
50,1.5,1646 (35),0.54,1.5,1646
70,2.1,1657 (35),0.53,2.1,1657
90,2.8,1667 (35),0.51,2.8,1667
100,3.1,1672 (36),0.5,3.1,1672
120,3.8,1682 (36),0.48,3.8,1682
140,4.4,1691 (36),0.47,4.4,1691
160,5.1,1700 (36),0.46,5.1,1700
180,5.8,1709 (37),0.44,5.8,1709
200,6.4,1718 (37),0.43,6.4,1718
220,7.1,1726 (37),0.42,7.1,1726
240,7.8,1735 (37),0.41,7.8,1735
260,8.5,1743 (38),0.41,8.5,1743
280,9.2,1751 (38),0.4,9.2,1751
300,9.9,1759 (38),0.39,9.9,1759
320,10.6,1766 (38),0.38,10.6,1766
340,11.2,1774 (38),0.37,11.2,1774
360,11.9,1781 (39),0.36,11.9,1781
380,12.6,1788 (39),0.36,12.6,1788
400,13.4,1796 (39),0.37,13.4,1796
410,13.7,1799 (39),0.36,13.7,1799
410,13.7,1860 (38),0.36,13.7,1860
420,14.1,1863 (38),0.36,14.1,1863
440,14.9,1871 (38),0.36,14.9,1871
460,15.6,1878 (38),0.36,15.6,1878
480,16.4,1885 (38),0.35,16.4,1885
500,17.1,1892 (39),0.35,17.1,1892
520,17.9,1899 (39),0.35,17.9,1899
520,17.9,1942 (39),0.39,17.9,1942
540,18.7,1950 (39),0.38,18.7,1950
560,19.5,1957 (39),0.38,19.5,1957
580,20.3,1965 (39),0.37,20.3,1965
600,21,1972 (39),0.37,21,1972
620,21.8,1980 (40),0.36,21.8,1980
640,22.6,1987 (40),0.36,22.6,1987
660,23.4,1994 (40),0.37,23.4,1994
660,23.4,1960 (40),0.41,23.4,1960
700,25.2,1976 (40),0.4,25.2,1976
800,29.6,2015 (41),0.39,29.6,2015
900,34.1,2053 (42),0.37,34.1,2053
1000,38.6,2090 (43),0.36,38.6,2090
1200,47.8,2158 (45),0.33,47.8,2158
1400,57.3,2223 (47),0.31,57.3,2223
1600,66.9,2283 (48),0.29,66.9,2283
1800,76.8,2340 (50),0.28,76.8,2340
2000,86.9,2394 (52),0.26,86.9,2394
2200,97.3,2445 (54),0.25,97.3,2445
2400,108,2494 (56),0.24,108,2494
2600,119,2541 (58),0.23,119,2541
2800,130.4,2587 (60),0.23,130.4,2587